epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,2376.52,0.54309,1.0808,0.46264,0.89568,0.97305,0.92334,0.95675,0.85131,0.95599,0.90765,0.93654,0.71184,0.47871,1.18259,0.38861,0.8428,0.000281252,0.000281252,0.000281252
49,2426,0.54514,1.09007,0.46352,0.894,0.96915,0.91498,0.95886,0.84296,0.94561,0.89559,0.92793,0.69222,0.50554,1.17821,0.40316,0.84952,0.000276045,0.000276045,0.000276045
50,2475.64,0.53121,1.06076,0.45752,0.88687,0.95991,0.92783,0.9604,0.85254,0.95922,0.90256,0.93845,0.70438,0.48506,1.16991,0.38824,0.84716,0.000270837,0.000270837,0.000270837
51,2524.97,0.5417,1.08846,0.46389,0.89569,0.95424,0.92339,0.96093,0.85039,0.95584,0.89295,0.93585,0.70913,0.48074,1.14391,0.38892,0.84827,0.00026563,0.00026563,0.00026563
52,2574.73,0.54073,1.0838,0.46411,0.89962,0.96172,0.93446,0.96172,0.84966,0.9516,0.91869,0.94014,0.71423,0.48725,1.13599,0.38827,0.84397,0.000260423,0.000260423,0.000260423
53,2624.55,0.53862,1.09401,0.45083,0.89271,0.95045,0.92442,0.95874,0.84786,0.93338,0.91009,0.93808,0.70889,0.49118,1.14256,0.38811,0.84649,0.000255215,0.000255215,0.000255215
54,2674.87,0.5357,1.08141,0.44986,0.89565,0.95976,0.92675,0.96179,0.85399,0.95585,0.90367,0.93987,0.70912,0.47596,1.16304,0.3807,0.84871,0.000250008,0.000250008,0.000250008
55,2724.95,0.53092,1.05626,0.44635,0.89026,0.98072,0.9169,0.96328,0.85187,0.96518,0.90396,0.94247,0.7193,0.48616,1.09847,0.37409,0.84551,0.0002448,0.0002448,0.0002448
56,2774.62,0.53048,1.07012,0.44762,0.89315,0.96349,0.91527,0.96284,0.855,0.94308,0.89878,0.93537,0.70868,0.48013,1.14432,0.3767,0.84716,0.000239593,0.000239593,0.000239593
57,2824.02,0.53781,1.04751,0.44592,0.89449,0.98067,0.9097,0.96431,0.85734,0.96439,0.89289,0.93973,0.71341,0.47516,1.12145,0.37581,0.84416,0.000234386,0.000234386,0.000234386
58,2873.81,0.51872,1.03264,0.43443,0.88995,0.95863,0.9229,0.96469,0.85553,0.9417,0.90837,0.93692,0.7089,0.47428,1.14221,0.37638,0.84053,0.000229178,0.000229178,0.000229178
59,2923.89,0.52872,1.05426,0.43995,0.89108,0.96744,0.91982,0.96233,0.85365,0.95044,0.90378,0.93559,0.71524,0.47311,1.12036,0.37267,0.84171,0.000223971,0.000223971,0.000223971
60,2973.56,0.5356,1.04347,0.44112,0.89343,0.96051,0.9263,0.96058,0.84871,0.94146,0.90777,0.93136,0.70543,0.4836,1.16202,0.3784,0.84425,0.000218763,0.000218763,0.000218763
61,3023.56,0.5208,1.03434,0.43611,0.88285,0.97035,0.91215,0.96116,0.84967,0.95595,0.89779,0.9306,0.71071,0.47336,1.14022,0.3718,0.84182,0.000213556,0.000213556,0.000213556
62,3073.15,0.51728,1.01035,0.42896,0.88418,0.96694,0.92537,0.96256,0.85507,0.95763,0.90498,0.93701,0.71057,0.46935,1.13177,0.37054,0.8376,0.000208349,0.000208349,0.000208349
63,3123.38,0.51285,1.01873,0.42702,0.88014,0.96629,0.92645,0.96221,0.85338,0.94936,0.91153,0.93367,0.71114,0.47313,1.14932,0.36875,0.84174,0.000203141,0.000203141,0.000203141
64,3173.77,0.51832,1.02254,0.43154,0.88826,0.97999,0.9207,0.95999,0.85669,0.95535,0.90785,0.93638,0.71153,0.46378,1.14168,0.36723,0.84,0.000197934,0.000197934,0.000197934
65,3223.79,0.51895,1.0167,0.42744,0.88765,0.97663,0.9235,0.96407,0.86014,0.95923,0.91119,0.9423,0.71767,0.4519,1.12894,0.35638,0.8361,0.000192726,0.000192726,0.000192726
66,3273.16,0.51713,1.00185,0.42253,0.88771,0.9683,0.92263,0.96333,0.85775,0.95663,0.90754,0.93934,0.70927,0.4694,1.17898,0.35888,0.83989,0.000187519,0.000187519,0.000187519
67,3323.19,0.51366,1.00905,0.41662,0.88562,0.97084,0.92479,0.96272,0.86269,0.95694,0.91146,0.94178,0.72575,0.45979,1.11501,0.35683,0.83687,0.000182312,0.000182312,0.000182312
68,3373.04,0.51041,0.98752,0.41309,0.88213,0.9571,0.92918,0.96245,0.86018,0.94979,0.90697,0.94119,0.72213,0.45841,1.10673,0.36011,0.83174,0.000177104,0.000177104,0.000177104
69,3422.09,0.50056,0.96879,0.41032,0.88005,0.95803,0.93518,0.96119,0.85834,0.94681,0.91252,0.94245,0.71204,0.47049,1.12315,0.3627,0.83874,0.000171897,0.000171897,0.000171897
70,3471.72,0.50374,1.0084,0.41834,0.88303,0.96818,0.92783,0.96367,0.86857,0.94994,0.91172,0.94086,0.72491,0.45336,1.12716,0.35258,0.82931,0.000166689,0.000166689,0.000166689
71,3521.02,0.50419,0.98833,0.41111,0.8823,0.97259,0.92368,0.96555,0.8651,0.95551,0.90914,0.93674,0.72371,0.45289,1.12574,0.35678,0.8332,0.000161482,0.000161482,0.000161482
72,3570.45,0.50283,0.97205,0.40677,0.87736,0.96984,0.92729,0.96499,0.86198,0.95433,0.90272,0.93731,0.72023,0.45971,1.13713,0.3549,0.83484,0.000156275,0.000156275,0.000156275
73,3620.37,0.50917,0.99354,0.41371,0.88405,0.96504,0.93132,0.96678,0.86716,0.95289,0.91862,0.94447,0.72042,0.45126,1.11869,0.34859,0.82963,0.000151067,0.000151067,0.000151067
74,3670.01,0.49733,0.96804,0.39905,0.87638,0.96839,0.9401,0.9678,0.86493,0.95928,0.91361,0.94526,0.71635,0.46396,1.13359,0.35305,0.83432,0.00014586,0.00014586,0.00014586
75,3719.59,0.49029,0.9537,0.39808,0.87623,0.97306,0.92434,0.96449,0.86129,0.95333,0.90693,0.93701,0.72304,0.4698,1.14374,0.35354,0.83481,0.000140652,0.000140652,0.000140652
76,3769.2,0.49593,0.95794,0.4022,0.87939,0.9708,0.93356,0.96632,0.86209,0.94379,0.91496,0.9393,0.72129,0.45951,1.1285,0.34925,0.83115,0.000135445,0.000135445,0.000135445
77,3818.76,0.50123,0.9524,0.40224,0.87733,0.96557,0.94486,0.96522,0.86234,0.94404,0.92745,0.94505,0.7199,0.45994,1.13829,0.3465,0.83074,0.000130238,0.000130238,0.000130238
78,3867.93,0.48923,0.95167,0.3955,0.87643,0.97462,0.92515,0.96705,0.86337,0.95396,0.90887,0.94143,0.73327,0.45661,1.10152,0.3465,0.83161,0.00012503,0.00012503,0.00012503
79,3917.05,0.49051,0.94849,0.39785,0.87658,0.97709,0.93007,0.96734,0.86587,0.95815,0.91301,0.94377,0.73276,0.45748,1.1214,0.34771,0.83668,0.000119823,0.000119823,0.000119823
80,3966.35,0.48915,0.96095,0.39474,0.87489,0.95931,0.93712,0.96415,0.86862,0.94755,0.91308,0.94064,0.71698,0.45557,1.14652,0.3484,0.83287,0.000114615,0.000114615,0.000114615
81,4015.74,0.4926,0.94385,0.39561,0.87746,0.9623,0.9418,0.9679,0.86796,0.9469,0.91264,0.93972,0.71923,0.45859,1.16433,0.34388,0.8353,0.000109408,0.000109408,0.000109408
82,4065,0.49032,0.95527,0.38928,0.87621,0.9652,0.93994,0.96734,0.8693,0.95317,0.91166,0.93925,0.72315,0.44599,1.12008,0.33876,0.82913,0.000104201,0.000104201,0.000104201
83,4113.95,0.48459,0.93507,0.3907,0.87516,0.97049,0.93582,0.96689,0.87266,0.95348,0.91054,0.94157,0.73007,0.44781,1.13423,0.33854,0.83213,9.89932e-05,9.89932e-05,9.89932e-05
84,4162.91,0.47987,0.93107,0.38395,0.87318,0.96621,0.93902,0.96511,0.86929,0.94557,0.91459,0.9373,0.73166,0.45074,1.1327,0.34146,0.83205,9.37858e-05,9.37858e-05,9.37858e-05
